version,2.2.0
info,balls_per_over,6
info,team,Papua New Guinea
info,team,Afghanistan
info,gender,male
info,season,2024
info,date,2024/06/13
info,event,ICC Men's T20 World Cup
info,match_number,29
info,venue,"Brian Lara Stadium, Tarouba, Trinidad"
info,city,Tarouba
info,toss_winner,Afghanistan
info,toss_decision,field
info,player_of_match,Fazalhaq Farooqi
info,umpire,AG Wharf
info,umpire,MA Gough
info,reserve_umpire,Ahsan Raza
info,tv_umpire,RK Illingworth
info,match_referee,DC Boon
info,winner,Afghanistan
info,winner_wickets,7
info,player,Papua New Guinea,TP Ura
info,player,Papua New Guinea,A Vala
info,player,Papua New Guinea,L Siaka
info,player,Papua New Guinea,S Bau
info,player,Papua New Guinea,H Hiri
info,player,Papua New Guinea,CA Soper
info,player,Papua New Guinea,K Doriga
info,player,Papua New Guinea,N Vanua
info,player,Papua New Guinea,A Nao
info,player,Papua New Guinea,J Kariko
info,player,Papua New Guinea,SI Kamea
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Noor Ahmad
info,player,Afghanistan,Naveen-ul-Haq
info,player,Afghanistan,Fazalhaq Farooqi
info,registry,people,A Nao,4d1ec7eb
info,registry,people,A Vala,72e60730
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,CA Soper,9920dd86
info,registry,people,DC Boon,e79a1fe3
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,H Hiri,9dc3ea7e
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,J Kariko,cde067e1
info,registry,people,K Doriga,365229a8
info,registry,people,Karim Janat,62175638
info,registry,people,L Siaka,6b4593ee
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,N Vanua,a36915ce
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,RK Illingworth,20672246
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Bau,9a95bebb
info,registry,people,SI Kamea,0730a707
info,registry,people,TP Ura,a82eb3fb
